,precision,recall,f1-score,support
add_product,1.0,1.0,1.0,143.0
availability,0.9960861056751468,0.994140625,0.9951124144672532,512.0
cancel_order,0.995475113122172,0.9777777777777777,0.9865470852017937,225.0
change_account,0.9924812030075187,1.0,0.9962264150943396,264.0
change_order,1.0,0.9963768115942029,0.9981851179673321,276.0
check_payment_methods,1.0,0.9966666666666667,0.998330550918197,300.0
check_refund_policy,0.9872611464968153,0.976890756302521,0.9820485744456178,476.0
contact_human_agent,0.994026284348865,0.9916567342073898,0.9928400954653938,839.0
create_account,1.0,1.0,1.0,284.0
damaged_delivery,0.9617021276595744,0.9658119658119658,0.9637526652452025,234.0
delete_account,1.0,0.9965156794425087,0.9982547993019197,287.0
delivery_time,0.9979591836734694,0.9959266802443992,0.9969418960244648,491.0
exchange_product,1.0,1.0,1.0,296.0
missing_item,1.0,0.9844961240310077,0.9921875,129.0
order_history,1.0,0.9932885906040269,0.9966329966329966,149.0
pay,0.9761904761904762,0.9647058823529412,0.9704142011834319,170.0
payment_issue,0.9933993399339934,0.9966887417218543,0.9950413223140496,302.0
product_information,0.9975538160469667,0.9987754102375704,0.9981642393831844,4083.0
product_issue,1.0,1.0,1.0,149.0
recover_password,0.9876923076923076,1.0,0.9938080495356038,321.0
remove_product,1.0,1.0,1.0,147.0
request_invoice,0.9975369458128078,1.0,0.998766954377312,405.0
request_refund,0.9690721649484536,0.9825783972125436,0.9757785467128027,287.0
request_right_to_rectification,1.0,0.9932432432432432,0.9966101694915255,148.0
return_product,0.9790794979079498,0.9894291754756871,0.9842271293375394,473.0
sales_period,0.9931972789115646,0.9931972789115646,0.9931972789115646,147.0
shipping_costs,0.9931506849315068,1.0,0.9965635738831615,145.0
store_location,1.0,1.0,1.0,139.0
store_opening_hours,0.9932885906040269,1.0,0.9966329966329966,148.0
submit_feedback,1.0,0.9933110367892977,0.9966442953020134,299.0
submit_product_idea,0.9867549668874173,1.0,0.9933333333333333,149.0
technical_issue,1.0,1.0,1.0,149.0
track_delivery,0.9914529914529915,0.9682804674457429,0.9797297297297297,599.0
track_order,0.9312714776632303,0.9644128113879004,0.9475524475524476,281.0
track_refund,1.0,0.9960629921259843,0.9980276134122288,254.0
use_app,1.0,1.0,1.0,144.0
wrong_item,0.9868421052631579,1.0,0.9933774834437086,150.0
accuracy,0.9929969987137345,0.9929969987137345,0.9929969987137345,0.9929969987137345
macro avg,0.9919317245467678,0.9921684823942377,0.9920251209540847,13994.0
weighted avg,0.9930569425038954,0.9929969987137345,0.9930067334390115,13994.0
