,precision,recall,f1-score,support
change_account,0.9638648860958366,0.21547737516829596,0.3522150990335853,17083.0
change_order,0.6489628040057225,0.37125319693094627,0.4723107958612611,9775.0
check_payment_methods,0.7807896287566294,0.2961224717845569,0.42939317831969537,8949.0
contact_human_agent,0.6585181831899803,0.1303971075985299,0.21768843218436673,33467.0
product_information,0.7705601301209718,0.46932078509070646,0.5833461597660459,16151.0
shipping_costs,0.8457034938621341,0.8318781348690322,0.83873384528938,5383.0
store_location,0.8026649746192893,0.23262228760573742,0.36070715711434276,5438.0
submit_feedback,0.9443631039531479,0.5269607843137255,0.6764551651809124,6120.0
track_delivery,0.3260537235204193,0.7701169188445667,0.45813941594640206,5816.0
track_order,0.8451695457453615,0.30603498204563884,0.4493579386002211,17266.0
micro avg,0.6824365175332527,0.3239190740386455,0.43931629475869227,125448.0
macro avg,0.7586650473869493,0.41501840442517357,0.4838347187296213,125448.0
weighted avg,0.761003670149736,0.3239190740386455,0.41629088655790875,125448.0
