,precision,recall,f1-score,support
add_product,1.0,1.0,1.0,143.0
availability,0.9707602339181286,0.97265625,0.9717073170731707,512.0
cancel_order,0.967741935483871,0.9333333333333333,0.9502262443438914,225.0
change_account,0.940959409594096,0.9659090909090909,0.9532710280373832,264.0
change_order,0.8782051282051282,0.9927536231884058,0.9319727891156463,276.0
check_payment_methods,0.9802631578947368,0.9933333333333333,0.9867549668874173,300.0
check_refund_policy,0.9856459330143541,0.865546218487395,0.9217002237136466,476.0
contact_human_agent,0.9067909454061251,0.8116805721096544,0.8566037735849057,839.0
create_account,0.9757785467128027,0.9929577464788732,0.9842931937172775,284.0
damaged_delivery,0.5552631578947368,0.9017094017094017,0.6872964169381107,234.0
delete_account,1.0,0.926829268292683,0.9620253164556962,287.0
delivery_time,0.8612099644128114,0.9857433808553971,0.9192782526115859,491.0
exchange_product,0.9964539007092199,0.9493243243243243,0.972318339100346,296.0
missing_item,0.9669421487603306,0.9069767441860465,0.936,129.0
order_history,0.9931506849315068,0.9731543624161074,0.9830508474576272,149.0
pay,0.8777777777777778,0.9294117647058824,0.9028571428571428,170.0
payment_issue,0.9900662251655629,0.9900662251655629,0.9900662251655629,302.0
product_information,0.9681159420289855,0.8998285574332598,0.9327240416349327,4083.0
product_issue,0.8869047619047619,1.0,0.9400630914826499,149.0
recover_password,0.968944099378882,0.9719626168224299,0.9704510108864697,321.0
remove_product,0.9607843137254902,1.0,0.98,147.0
request_invoice,0.9900744416873449,0.9851851851851852,0.9876237623762376,405.0
request_refund,0.921311475409836,0.9790940766550522,0.9493243243243243,287.0
request_right_to_rectification,0.9545454545454546,0.9932432432432432,0.9735099337748344,148.0
return_product,0.7795414462081128,0.9344608879492601,0.85,473.0
sales_period,0.9668874172185431,0.9931972789115646,0.9798657718120806,147.0
shipping_costs,0.6911764705882353,0.9724137931034482,0.8080229226361032,145.0
store_location,0.9645390070921985,0.9784172661870504,0.9714285714285714,139.0
store_opening_hours,0.98,0.9932432432432432,0.9865771812080537,148.0
submit_feedback,0.9735099337748344,0.9832775919732442,0.978369384359401,299.0
submit_product_idea,0.9125,0.9798657718120806,0.9449838187702265,149.0
technical_issue,0.9802631578947368,1.0,0.9900332225913622,149.0
track_delivery,0.8739205526770294,0.8447412353923205,0.8590831918505942,599.0
track_order,0.8907849829351536,0.9288256227758007,0.9094076655052264,281.0
track_refund,0.995850622406639,0.9448818897637795,0.9696969696969697,254.0
use_app,0.9859154929577465,0.9722222222222222,0.9790209790209791,144.0
wrong_item,0.9419354838709677,0.9733333333333334,0.9573770491803278,150.0
accuracy,0.9301843647277405,0.9301843647277405,0.9301843647277405,0.9301843647277405
macro avg,0.930662546113139,0.957285931229784,0.9412698640432098,13994.0
weighted avg,0.9377300773873736,0.9301843647277405,0.9317308609970776,13994.0
